13:26:47.084 [main] INFO  c.z.dividend.DividendApplication - Starting DividendApplication using Java 11.0.2 on DESKTOP-1V9IN0U with PID 17592 (C:\Users\a0108\Documents\study\dividend\build\classes\java\main started by a0108 in C:\Users\a0108\Documents\study\dividend)
13:26:47.990 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
13:26:48.282 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:26:48.290 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:26:48.291 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:26:48.291 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
13:26:48.370 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:26:48.370 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1252 ms
13:26:48.412 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:26:48.549 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:26:48.554 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dayone'
13:26:48.710 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13:26:48.748 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
13:26:48.861 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
13:26:48.961 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
13:26:49.463 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
13:26:49.469 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13:26:50.048 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
13:26:50.125 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
13:26:50.147 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27caa186, org.springframework.security.web.context.SecurityContextPersistenceFilter@2bd158ea, org.springframework.security.web.header.HeaderWriterFilter@72851503, org.springframework.security.web.authentication.logout.LogoutFilter@218fc40d, com.zerobase.dividend.security.JwtAuthenticationFilter@57806346, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4d1f168, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@260043d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6ebf9c2d, org.springframework.security.web.session.SessionManagementFilter@3dcf6026, org.springframework.security.web.access.ExceptionTranslationFilter@5134a7d6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@35bf6dba]
13:26:50.464 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
13:26:50.484 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
13:26:50.493 [main] INFO  c.z.dividend.DividendApplication - Started DividendApplication in 3.813 seconds (JVM running for 4.117)
13:27:27.707 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
13:27:27.708 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
13:27:27.709 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
13:27:34.626 [http-nio-8080-exec-3] INFO  c.z.d.controller.AuthController - user login -> hyeonju
13:28:44.608 [http-nio-8080-exec-6] INFO  c.z.d.s.JwtAuthenticationFilter - [hyeonju] -> /company
